ArticleID,Pub_Type,Authors,Year ,Title,Pub_name,Volume,Issue,Pages,source
23013,Journal Article,Abade_etal,2018,Spatial variation in leopard (Panthera pardus) site use across a gradient of anthropogenic pressure in Tanzania's Ruaha landscape,PLoS ONE,13,10,,PubDatabase
23018,Journal Article,Abrahms_etal,2019,Dynamic ensemble models to predict distributions and anthropogenic risk exposure for highly mobile species,Diversity and Distributions,25,8,1182-1193,PubDatabase
23019,Journal Article,Abram_etal,2015,Mapping perceptions of species' threats and population trends to inform conservation efforts: The Bornean orangutan case study,Diversity and Distributions,21,5,487-499,PubDatabase
23020,Journal Article,Abreo_etal,2019,Social media as a novel source of data on the impact of marine litter on megafauna: The Philippines as a case study,Marine Pollution Bulletin,140,,51-59,PubDatabase
23022,Journal Article,Acevedo_etal,2007,The Iberian ibex is under an expansion trend but displaced to suboptimal habitats by the presence of extensive goat livestock in central Spain,Biodiversity and Conservation,16,12,3361-3376,PubDatabase
23030,Journal Article,Adams and Setterfield,2015,Optimal dynamic control of invasions: Applying a systematic conservation approach,Ecological Applications,25,4,1131-1141,PubDatabase
23046,Journal Article,Ahmad_etal,2015,"Assessment of land use/land cover change in Hirpora wildlife sanctuary, Kashmir",Asian Journal of Earth Sciences,8,3,64-73,PubDatabase
23047,Journal Article,Ahmadi_etal,2019,Extinction risks of a Mediterranean neo-endemism complex of mountain vipers triggered by climate change,Scientific Reports,9,1,,PubDatabase
23051,Journal Article,Al-Chokhachy_etal,2014,Quantifying the Effectiveness of Conservation Measures to Control the Spread of Anthropogenic Hybridization in Stream Salmonids: a Climate Adaptation Case Study,North American Journal of Fisheries Management,34,3,642-652,PubDatabase
23052,Journal Article,Al-Nasrawi_etal,2018,Geoinformatics vulnerability predictions of coastal ecosystems to sea-level rise in Southeastern Australia,"Geomatics, Natural Hazards and Risk",9,1,645-661,PubDatabase
23061,Journal Article,Albouy_etal,2017,Multifaceted biodiversity hotspots of marine mammals for conservation priorities,Diversity and Distributions,23,6,615-626,PubDatabase
23062,Journal Article,Albright_etal,2017,Mapping evaporative water loss in desert passerines reveals an expanding threat of lethal dehydration,Proceedings of the National Academy of Sciences of the United States of America,114,9,2283-2288,PubDatabase
23063,Journal Article,Alcaraz_etal,2015,"Assessing population status of Parachondrostoma arrigonis (Steindachner, 1866), threats and conservation perspectives",Environmental Biology of Fishes,98,1,443-455,PubDatabase
23064,Journal Article,Alexander and Waters,2000,The effects of highway transportation corridors on wildlife: a case study of Banff National Park,Transportation Research Part C-Emerging Technologies,8,2022-06-01,307-320,PubDatabase
23068,Journal Article,Alfred_etal,2010,"Summarizing spatial distribution density, movement patterns and food resources to study the impacts of logging and forest conversion on Orang-utan population",OnLine Journal of Biological Sciences,10,2,73-83,PubDatabase
23071,Journal Article,Allan_etal,2017,Recent increases in human pressure and forest loss threaten many Natural World Heritage Sites,Biological Conservation,206,,47-55,PubDatabase
23072,Journal Article,Allan_etal,2019,Hotspots of human impact on threatened terrestrial vertebrates,PLoS Biology,17,3,,PubDatabase
23073,Journal Article,Almeida_etal,2014,Time-series analysis of native and non-native crayfish dynamics in the Thames River Basin (south-eastern England),Aquatic Conservation-Marine and Freshwater Ecosystems,24,2,192-202,PubDatabase
23074,Journal Article,Almodóvar_etal,2012,Global warming threatens the persistence of Mediterranean brown trout,Global Change Biology,18,5,1549-1560,PubDatabase
23080,Journal Article,Álvarez,2003,Forests in the time of violence: Conservation implications of the colombian war,Journal of Sustainable Forestry,16,2022-04-03,47-68,PubDatabase
23082,Journal Article,Alvarez-Berastegui_etal,2014,Multidisciplinary rapid assessment of coastal areas as a tool for the design and management of marine protected areas,Journal for Nature Conservation,22,1,2014-01-01,PubDatabase
23083,Journal Article,Alvarez-Berrios and Mitchell,2015,Global demand for gold is another threat for tropical forests,Environmental Research Letters,10,1,,PubDatabase
23085,Journal Article,Alvarez-Filip_etal,2019,A rapid spread of the stony coral tissue loss disease outbreak in the Mexican Caribbean,PeerJ,2019,11,,PubDatabase
23086,Journal Article,Alvarez-Romero_etal,2013,A novel approach to model exposure of coastal-marine ecosystems to riverine flood plumes based on remote sensing techniques,Journal of Environmental Management,119,,194-207,PubDatabase
23087,Journal Article,Alves_etal,2014,The Potential Impact of White-Nose Syndrome on the Conservation Status of North American Bats,Plos One,9,9,7,PubDatabase
23091,Journal Article,Ambastha_etal,2010,"Spatial analysis of anthropogenic disturbances in mangrove forests of Bhitarkanika Conservation Area, India",Journal of the Indian Society of Remote Sensing,38,1,67-83,PubDatabase
23100,Journal Article,Andersen_etal,2020,Relative impacts of multiple human stressors in estuaries and coastal waters in the North Sea–Baltic Sea transition zone,Science of the Total Environment,704,,,PubDatabase
23105,Journal Article,Andrade-Díaz_etal,2019,Expansion of the agricultural frontier in the largest South American Dry Forest: Identifying priority conservation areas for snakes before everything is lost,PLoS ONE,14,9,,PubDatabase
23106,Journal Article,Andréfouët_etal,2015,Mass mortality events in atoll lagoons: Environmental control and increased future vulnerability,Global Change Biology,21,1,195-205,PubDatabase
23114,Journal Article,Anjos_etal,2018,Measuring resilience and assessing vulnerability of terrestrial ecosystems to climate change in South America,PLoS ONE,13,3,,PubDatabase
23117,Journal Article,Ansari and Golabi,2019,"Using Ecosystem Service Modeler (ESM) for Ecological Quality, rarity and Risk Assessment of the wild goat habitat, in the Haftad-Gholleh protected area",International Soil and Water Conservation Research,7,4,346-353,PubDatabase
23125,Journal Article,Araújo_etal,2008,Exposure of European biodiversity to changes in human-induced pressures,Environmental Science and Policy,11,1,38-45,PubDatabase
23128,Journal Article,Araújo and Wang,2015,The dammed river dolphins of Brazil: Impacts and conservation,ORYX,49,1,17-24,PubDatabase
23135,Journal Article,Arkema_etal,2014,Assessing habitat risk from human activities to inform coastal and marine spatial planning: A demonstration in Belize,Environmental Research Letters,9,11,,PubDatabase
23138,Journal Article,Armenteras_etal,2013,"Landscape Dynamics in Northwestern Amazonia: An Assessment of Pastures, Fire and Illicit Crops as Drivers of Tropical Deforestation",PLoS ONE,8,1,,PubDatabase
23142,Journal Article,Arroyave_etal,2020,Multiplex networks reveal geographic constraints on illicit wildlife trafficking,Applied Network Science,5,1,,PubDatabase
23146,Journal Article,Asharfi_etal,2020,QUANTITATIVE ASSESSMENT OF FOREST ECOSYSTEM STRESS CAUSED BY CEMENT PLANT POLLUTION USING IN SITU MEASUREMENTS AND SENTINEL-2 SATELLITE DATA IN A PART OF THE UNESCO WORLD HERITAGE SITE,European Journal of Environmental Sciences,10,1,22-31,PubDatabase
23147,Journal Article,Ashcroft_etal,2009,Climate change at the landscape scale: predicting fine-grained spatial heterogeneity in warming and potential refugia for vegetation,Global Change Biology,15,3,656-667,PubDatabase
23150,Journal Article,Asner_etal,2008,Invasive species detection in Hawaiian rainforests using airborne imaging spectroscopy and LiDAR,Remote Sensing of Environment,112,5,1942-1955,PubDatabase
23151,Journal Article,Asner_etal,2009,A contemporary assessment of change in humid tropical forests,Conservation Biology,23,6,1386-1395,PubDatabase
23154,Journal Article,Assuncao_etal,2019,"The invasion of Artocarpus heterophyllus, jackfruit, in protected areas under climate change and across scales: from Atlantic Forest to a natural heritage private reserve",Biological Invasions,21,2,481-492,PubDatabase
23155,Journal Article,Astiaso_etal,2013,An estimation of urban fragmentation of natural habitats: Case studies of the 24 italian national parks,Chemical Engineering Transactions,32,,49-54,PubDatabase
23160,Journal Article,Atkore_etal,2020,Multiscale Investigation of Water Chemistry Effects on Fish Guild Species Richness in Regulated and Nonregulated Rivers of India's Western Ghats: Implications for Restoration,Transactions of the American Fisheries Society,149,3,298-319,PubDatabase
23163,Journal Article,Aubrecht_etal,2008,A global inventory of coral reef stressors based on satellite observed nighttime lights,Geocarto International,23,6,467-479,PubDatabase
23164,Journal Article,Auerbach_etal,2014,Informed actions: Where to cost effectively manage multiple threats to species to maximize return on investment,Ecological Applications,24,6,1357-1373,PubDatabase
23169,Journal Article,Avila_etal,2018,Current global risks to marine mammals: Taking stock of the threats,Biological Conservation,221,,44-58,PubDatabase
23170,Journal Article,Awkerman_etal,2016,Spatially explicit assessment of estuarine fish after Deepwater Horizon oil spill: Trade-off in complexity and parsimony,Ecological Applications,26,6,1708-1720,PubDatabase
23171,Journal Article,Ayele_etal,2016,"Multitemporal land use/land cover change detection for the batena watershed, rift valley lakes basin, Ethiopia",Springer Geography,,,51-72,PubDatabase
23177,Journal Article,Bacigalupe_etal,2019,The amphibian-killing fungus in a biodiversity hotspot: identifying and validating high-risk areas and refugia,Ecosphere,10,5,,PubDatabase
23185,Journal Article,Bahaa-El-Din_etal,2016,Effects of human land-use on Africa's only forest-dependent felid: The African golden cat Caracal aurata,Biological Conservation,199,,2022-09-01,PubDatabase
23188,Journal Article,Baig and Aldosari,2012,An investigation into the vanishing biodiversity: Implications for rural extension,Bulgarian Journal of Agricultural Science,18,3,403-409,PubDatabase
23190,Journal Article,Bailey_etal,2017,Impact of land use and climate on the distribution of the endangered Florida bonneted bat,Journal of Mammalogy,98,6,1586-1593,PubDatabase
23196,Journal Article,Balasingham_etal,2018,Environmental DNA detection of rare and invasive fish species in two Great Lakes tributaries,Molecular Ecology,27,1,112-127,PubDatabase
