ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res_unit,Spatial_res,Continent_Ocean,Country_EEZ,Threat_metric,Threat_data,Threat,Quantity_threats,threat_precision,threat_database,Pop_metric,Pop_data,pop_database,tax_res,tax_scope,tax_kingdom,plant_group,animal_group
25370,Rímalová_etal,2014,Observational,Freshwater,National,polygon,NA,europe,Czech Republic,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,species,order,animalia,na,invertebrates
23013,Abade_etal,2018,Observational,Terrestrial,Local,polygon,na,africa,"Tanzania, United Republic of",literature,Qualitative,1.1:DevResid;2.3:AgLivestock;5.1:UseAnimals;6.3:Other,4,cumulative,na ,survey,Quantitative,na,species,species,animalia,na,mammal
23018,Abrahms_etal,2019,Observational,Marine,Local,degrees,0.1,north pacific,United States,database,Qualitative,4.3:ShipLane,1,level2,Channel Islands National Marine Sanctuary,modelled,Quantitative,NA,species,species,animalia,na,mammal
23019,Abram_etal,2015,Observational,Terrestrial,Local,km2,1,asia,Indonesia,expert,Quantitative,6.3:Other,1,level2,na,expert,Quantitative,NA,species,species,animalia,na,mammal
23020,Abreo_etal,2019,Observational,Marine,Sub-national,polygon,na,south china sea,Philippines,other,Quantitative,9.4:PollGarbSW,1,level2,na,other,Qualitative ,NA,species,phylum,animalia,na,mammal;reptile
23022,Acevedo_etal,2007,Observational,Terrestrial,Sub-national,km2,1,europe,Spain,survey,Qualitative,2.3:AgLivestock,1,level2,na,modelled;survey,Quantitative,NA,species,species,animalia,na,mammal
23030,Adams and Setterfield,2015,Observational,Terrestrial,Sub-national,m,250,australasia,Australia,literature,Qualitative,8.1:SDAlienInv,1,level2,na,pchba;protected_area,Qualitative ,NRETAS,other,other,other,na,na
23046,Ahmad_etal,2015,Observational,Terrestrial,Local,polygon,NA,asia,India,rs,Qualitative,2.1:AgNTC;2.3:AgLivestock;1.4:DevUnspec,3,level2,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23047,Ahmadi_etal,2019,Observational,Terrestrial,Multi-national,km2,1,asia,Azerbaijan;Iran;Lebanon;Turkey,modelled,Quantitative,11.1:CC_Habitat,2,level2,NA,literature;survey,Qualitative ,NA,genus,genus,animalia,na,reptile
23061,Albouy_etal,2017,Observational,Marine,Global,degrees,1,na,na,pcm,Qualitative,1.2:DevComInd;3.1:OilGas;4.3:ShipLane;5.4:UseAquatic;8.1:SDAlienInv;9.1:PollDWW;11.1:CC_Habitat;11.3:CC_Temp;11.5:CC_other,10,cumulative,Halpern_2008,database,Quantitative,IUCN,order,order,animalia,na,mammal
