ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title
25370,Rímalová_etal,2014,Observational,Freshwater,National,,europe,Czech Republic,Species-specific pattern of crayfish distribution within a river network relates to habitat degradation: implications for conservation
23013,Abade_etal,2018,Observational,Terrestrial,Local,,africa,Tanzania,Spatial variation in leopard (Panthera pardus) site use across a gradient of anthropogenic pressure in Tanzania's Ruaha landscape
23018,Abrahms_etal,2019,Observational,Marine,Local,0.1,north pacific,United States,Dynamic ensemble models to predict distributions and anthropogenic risk exposure for highly mobile species
23019,Abram_etal,2015,Observational,Terrestrial,Local,1,asia,Indonesia,Mapping perceptions of species' threats and population trends to inform conservation efforts: The Bornean orangutan case study
23020,Abreo_etal,2019,Observational,Marine,Sub-national,,south china sea,Philippines,Social media as a novel source of data on the impact of marine litter on megafauna: The Philippines as a case study
23022,Acevedo_etal,2007,Observational,Terrestrial,Sub-national,1,europe,Spain,The Iberian ibex is under an expansion trend but displaced to suboptimal habitats by the presence of extensive goat livestock in central Spain
23030,Adams and Setterfield,2015,Observational,Terrestrial,Sub-national,250,australasia,Australia,Optimal dynamic control of invasions: Applying a systematic conservation approach
23046,Ahmad_etal,2015,Observational,Terrestrial,Local,,asia,India,"Assessment of land use/land cover change in Hirpora wildlife sanctuary, Kashmir"
23047,Ahmadi_etal,2019,Observational,Terrestrial,Multi-national,1,asia,Azerbaijan,Extinction risks of a Mediterranean neo-endemism complex of mountain vipers triggered by climate change
23061,Albouy_etal,2017,Observational,Marine,Global,1,Unknown,Unknown,Multifaceted biodiversity hotspots of marine mammals for conservation priorities
23062,Albright_etal,2017,Observational,Terrestrial,Sub-national,0.125,north america,United States,Mapping evaporative water loss in desert passerines reveals an expanding threat of lethal dehydration
23063,Alcaraz_etal,2015,Observational,Freshwater,Sub-national,10,europe,Spain,"Assessing population status of Parachondrostoma arrigonis (Steindachner, 1866), threats and conservation perspectives"
23051,Al-Chokhachy_etal,2014,Observational,Freshwater,Local,,north america,Canada,Quantifying the Effectiveness of Conservation Measures to Control the Spread of Anthropogenic Hybridization in Stream Salmonids: a Climate Adaptation Case Study
23064,Alexander and Waters,2000,Observational,Terrestrial,Local,,north america,Canada,The effects of highway transportation corridors on wildlife: a case study of Banff National Park
23068,Alfred_etal,2010,Observational,Terrestrial,Sub-national,2.5,asia,Malaysia,"Summarizing spatial distribution density, movement patterns and food resources to study the impacts of logging and forest conversion on Orang-utan population"
23071,Allan_etal,2017,Observational,Terrestrial,Global,,Unknown,Unknown,Recent increases in human pressure and forest loss threaten many Natural World Heritage Sites
23072,Allan_etal,2019,Observational,Terrestrial,Global,30,Unknown,Unknown,Hotspots of human impact on threatened terrestrial vertebrates
23073,Almeida_etal,2014,Observational,Freshwater,Sub-national,10,europe,United Kingdom,Time-series analysis of native and non-native crayfish dynamics in the Thames River Basin (south-eastern England)
23074,Almodóvar_etal,2012,Observational,Freshwater,Local,,europe,Spain,Global warming threatens the persistence of Mediterranean brown trout
23052,Al-Nasrawi_etal,2018,Observational,Terrestrial,Local,0.8,australasia,Australia,Geoinformatics vulnerability predictions of coastal ecosystems to sea-level rise in Southeastern Australia
23080,Álvarez,2003,Observational,Terrestrial,National,,south america,Colombia,Forests in the time of violence: Conservation implications of the colombian war
23082,Alvarez-Berastegui_etal,2014,Observational,Marine,Sub-national,300,mediterranean,Spain,Multidisciplinary rapid assessment of coastal areas as a tool for the design and management of marine protected areas
23083,Alvarez-Berrios and Mitchell,2015,Observational,Terrestrial,Multi-national,250,south america,Brazil,Global demand for gold is another threat for tropical forests
23085,Alvarez-Filip_etal,2019,Observational,Marine,Sub-national,,north atlantic,Mexico,A rapid spread of the stony coral tissue loss disease outbreak in the Mexican Caribbean
23086,Alvarez-Romero_etal,2013,Observational,Marine,Sub-national,500,south pacific,Australia,A novel approach to model exposure of coastal-marine ecosystems to riverine flood plumes based on remote sensing techniques
23087,Alves_etal,2014,Observational,Terrestrial,Multi-national,0.16,north america,Canada,The Potential Impact of White-Nose Syndrome on the Conservation Status of North American Bats
25335,Amano_etal,2020,Observational,Terrestrial,Global,1,Unknown,Unknown,Responses of global waterbird populations to climate change vary with latitude
23091,Ambastha_etal,2010,Observational,Terrestrial,Local,250,asia,India,"Spatial analysis of anthropogenic disturbances in mangrove forests of Bhitarkanika Conservation Area, India"
23100,Andersen_etal,2020,Observational,Marine,National,2,north atlantic,Denmark,Relative impacts of multiple human stressors in estuaries and coastal waters in the North Sea–Baltic Sea transition zone
W26591,Anderson_etal,2017,Observational,Marine,Local,,north atlantic,Belize,"The role of conservation volunteers in the detection, monitoring and management of invasive alien lionfish"
23105,Andrade-Díaz_etal,2019,Observational,Terrestrial,Sub-national,,south america,Argentina,Expansion of the agricultural frontier in the largest South American Dry Forest: Identifying priority conservation areas for snakes before everything is lost
23106,Andréfouët_etal,2015,Observational,Marine,Multi-national,30,south pacific,Cook Islands,Mass mortality events in atoll lagoons: Environmental control and increased future vulnerability
23114,Anjos_etal,2018,Observational,Terrestrial,Continental,6,south america,Unknown,Measuring resilience and assessing vulnerability of terrestrial ecosystems to climate change in South America
23117,Ansari and Golabi,2019,Observational,Terrestrial,Local,,asia,Iran,"Using Ecosystem Service Modeler (ESM) for Ecological Quality, rarity and Risk Assessment of the wild goat habitat, in the Haftad-Gholleh protected area"
23128,Araújo and Wang,2015,Observational,Freshwater,Sub-national,,south america,Brazil,The dammed river dolphins of Brazil: Impacts and conservation
23125,Araújo_etal,2008,Observational,Terrestrial,Continental,50,europe,Unknown,Exposure of European biodiversity to changes in human-induced pressures
23135,Arkema_etal,2014,Observational,Marine,National,500,north atlantic,Belize,Assessing habitat risk from human activities to inform coastal and marine spatial planning: A demonstration in Belize
23138,Armenteras_etal,2013,Observational,Terrestrial,Local,,south america,Colombia,"Landscape Dynamics in Northwestern Amazonia: An Assessment of Pastures, Fire and Illicit Crops as Drivers of Tropical Deforestation"
23142,Arroyave_etal,2020,Observational,Terrestrial,National,,south america,Colombia,Multiplex networks reveal geographic constraints on illicit wildlife trafficking
23146,Asharfi_etal,2020,Observational,Terrestrial,Local,20,asia,Iran,QUANTITATIVE ASSESSMENT OF FOREST ECOSYSTEM STRESS CAUSED BY CEMENT PLANT POLLUTION USING IN SITU MEASUREMENTS AND SENTINEL-2 SATELLITE DATA IN A PART OF THE UNESCO WORLD HERITAGE SITE
23147,Ashcroft_etal,2009,Observational,Terrestrial,Local,ha,australasia,Australia,Climate change at the landscape scale: predicting fine-grained spatial heterogeneity in warming and potential refugia for vegetation
23151,Asner_etal,2009,Observational,Terrestrial,Global,500,Unknown,Unknown,A contemporary assessment of change in humid tropical forests
23150,Asner_etal,2008,Observational,Terrestrial,Local,3,north america,United States,Invasive species detection in Hawaiian rainforests using airborne imaging spectroscopy and LiDAR
23154,Assuncao_etal,2019,Observational,Terrestrial,Sub-national,0.5,south america,Brazil,"The invasion of Artocarpus heterophyllus, jackfruit, in protected areas under climate change and across scales: from Atlantic Forest to a natural heritage private reserve"
23155,Astiaso_etal,2013,Observational,Terrestrial,National,,europe,Italy,An estimation of urban fragmentation of natural habitats: Case studies of the 24 italian national parks
23160,Atkore_etal,2020,Observational,Freshwater,Sub-national,,asia,India,Multiscale Investigation of Water Chemistry Effects on Fish Guild Species Richness in Regulated and Nonregulated Rivers of India's Western Ghats: Implications for Restoration
23163,Aubrecht_etal,2008,Observational,Marine,Global,km,Unknown,Unknown,A global inventory of coral reef stressors based on satellite observed nighttime lights
23164,Auerbach_etal,2014,Observational,Terrestrial,Sub-national,25,australasia,Australia,Informed actions: Where to cost effectively manage multiple threats to species to maximize return on investment
23169,Avila_etal,2018,S_Review,Marine,Global,0.5,Unknown,Unknown,Current global risks to marine mammals: Taking stock of the threats
23170,Awkerman_etal,2016,Observational,Marine,Local,90,north atlantic,United States,Spatially explicit assessment of estuarine fish after Deepwater Horizon oil spill: Trade-off in complexity and parsimony
23171,Ayele_etal,2016,Observational,Terrestrial,Local,30,africa,Ethiopia,"Multitemporal land use/land cover change detection for the batena watershed, rift valley lakes basin, Ethiopia"
23177,Bacigalupe_etal,2019,Observational,Terrestrial,National,1,south america,Chile,The amphibian-killing fungus in a biodiversity hotspot: identifying and validating high-risk areas and refugia
23185,Bahaa-El-Din_etal,2016,Observational,Terrestrial,Local,,africa,Gabon,Effects of human land-use on Africa's only forest-dependent felid: The African golden cat Caracal aurata
23188,Baig and Aldosari,2012,Observational,Terrestrial,Local,,asia,Pakistan,An investigation into the vanishing biodiversity: Implications for rural extension
