ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title,Threat,Threat1,Threat_metric,Threat_data,Quantity_threats,threat_precision,threat_database,Threat_decoded,Threat1_decoded,Georef_ind_driver,Direct_driver,Indirect_driver
25370,Rímalová_etal,2014,Observational,Freshwater,National,,europe,Czech Republic,Species-specific pattern of crayfish distribution within a river network relates to habitat degradation: implications for conservation,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,climate_change,conflits_and_epidemics
23013,Abade_etal,2018,Observational,Terrestrial,Local,,africa,Tanzania,Spatial variation in leopard (Panthera pardus) site use across a gradient of anthropogenic pressure in Tanzania's Ruaha landscape,1.1:DevResid; 2.3:AgLivestock; 5.1:UseAnimals; 6.3:Other,1; 2; 5; 6,literature,Qualitative,4,cumulative,,Housing & Urban Areas; Hunting & Collecting Animals; Livestock Farming & Ranching; Work & Other Activities,Agriculture & Aquaculture; Biological Resource Use; Human Intrusions & Disturbance; Residential & Commercial Development,0,invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;demographic
23018,Abrahms_etal,2019,Observational,Marine,Local,0.1,north pacific,United States,Dynamic ensemble models to predict distributions and anthropogenic risk exposure for highly mobile species,4.3:ShipLane,4,database,Qualitative,1,level2,Channel Islands National Marine Sanctuary,Shipping Lanes,Transportation & Service Corridors,0,land/sea_use_change,conflits_and_epidemics;demographic;economic
23019,Abram_etal,2015,Observational,Terrestrial,Local,1,asia,Indonesia,Mapping perceptions of species' threats and population trends to inform conservation efforts: The Bornean orangutan case study,6.3:Other,6,expert,Quantitative,1,level2,,Work & Other Activities,Human Intrusions & Disturbance,1;0,climate_change;direct_exploitation,conflits_and_epidemics;demographic;governance_and_institutions
23020,Abreo_etal,2019,Observational,Marine,Sub-national,,south china sea,Philippines,Social media as a novel source of data on the impact of marine litter on megafauna: The Philippines as a case study,9.4:PollGarbSW,9,other,Quantitative,1,level2,,Garbage & Solid Waste,Pollution,1,climate_change;land/sea_use_change,conflits_and_epidemics;demographic;society_and_culture
23022,Acevedo_etal,2007,Observational,Terrestrial,Sub-national,1,europe,Spain,The Iberian ibex is under an expansion trend but displaced to suboptimal habitats by the presence of extensive goat livestock in central Spain,2.3:AgLivestock,2,survey,Qualitative,1,level2,,Livestock Farming & Ranching,Agriculture & Aquaculture,1;na,direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;demographic;technology
23030,Adams and Setterfield,2015,Observational,Terrestrial,Sub-national,250,australasia,Australia,Optimal dynamic control of invasions: Applying a systematic conservation approach,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,land/sea_use_change;pollution,conflits_and_epidemics;economic
23046,Ahmad_etal,2015,Observational,Terrestrial,Local,,asia,India,"Assessment of land use/land cover change in Hirpora wildlife sanctuary, Kashmir",1.4:DevUnspec; 2.1:AgNTC; 2.3:AgLivestock,1; 2,rs,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops; Development (Unspecified); Livestock Farming & Ranching,Agriculture & Aquaculture; Residential & Commercial Development,1,direct_exploitation;pollution,conflits_and_epidemics;economic;governance_and_institutions
23047,Ahmadi_etal,2019,Observational,Terrestrial,Multi-national,1,asia,Azerbaijan,Extinction risks of a Mediterranean neo-endemism complex of mountain vipers triggered by climate change,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather,1,invasive_and_alien_species;pollution,conflits_and_epidemics;economic;society_and_culture
23061,Albouy_etal,2017,Observational,Marine,Global,1,Unknown,Unknown,Multifaceted biodiversity hotspots of marine mammals for conservation priorities,1.2:DevComInd; 11.1:CC_Habitat; 11.3:CC_Temp; 11.5:CC_other; 3.1:OilGas; 4.3:ShipLane; 5.4:UseAquatic; 8.1:SDAlienInv; 9.1:PollDWW,1; 11; 3; 4; 5; 8; 9,pcm,Qualitative,10,cumulative,Halpern_2008,Climate Change (Other); Commercial & Industrial Areas; Domestic & Urban Waste Water; Fishing & Harvesting Aquatic Resources; Habitat Shifting & Alteration; Invasive Non-Native/Alien Species; Oil & Gas Drilling; Shipping Lanes; Temperature Extremes,Biological Resource Use; Climate Change & Severe Weather; Energy Production & Mining; Invasive & Problematic Species; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1,climate_change;direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;economic;technology
23062,Albright_etal,2017,Observational,Terrestrial,Sub-national,0.125,north america,United States,Mapping evaporative water loss in desert passerines reveals an expanding threat of lethal dehydration,11.2:CC_Drought,11,modelled,Quantitative,1,level2,,Droughts,Climate Change & Severe Weather,1,climate_change;direct_exploitation;land/sea_use_change,conflits_and_epidemics;governance_and_institutions
23063,Alcaraz_etal,2015,Observational,Freshwater,Sub-national,10,europe,Spain,"Assessing population status of Parachondrostoma arrigonis (Steindachner, 1866), threats and conservation perspectives",8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,climate_change;direct_exploitation;pollution,conflits_and_epidemics;governance_and_institutions;society_and_culture
23051,Al-Chokhachy_etal,2014,Observational,Freshwater,Local,,north america,Canada,Quantifying the Effectiveness of Conservation Measures to Control the Spread of Anthropogenic Hybridization in Stream Salmonids: a Climate Adaptation Case Study,8.2:SDNativProb,8,survey,Quantitative,1,level2,,Problematic Native Species,Invasive & Problematic Species,0,climate_change;invasive_and_alien_species;pollution,conflits_and_epidemics;governance_and_institutions;technology
23064,Alexander and Waters,2000,Observational,Terrestrial,Local,,north america,Canada,The effects of highway transportation corridors on wildlife: a case study of Banff National Park,4.1:RoadRail,4,survey,Qualitative,1,level2,,Roads & Railroads,Transportation & Service Corridors,1;na,climate_change;invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;society_and_culture
23068,Alfred_etal,2010,Observational,Terrestrial,Sub-national,2.5,asia,Malaysia,"Summarizing spatial distribution density, movement patterns and food resources to study the impacts of logging and forest conversion on Orang-utan population",2.1:AgNTC; 2.2:AgWood; 4.1:RoadRail,2; 4,rs,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops; Roads & Railroads; Wood & Pulp Plantations,Agriculture & Aquaculture; Transportation & Service Corridors,1,direct_exploitation;invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;society_and_culture;technology
23071,Allan_etal,2017,Observational,Terrestrial,Global,,Unknown,Unknown,Recent increases in human pressure and forest loss threaten many Natural World Heritage Sites,1.1:DevResid; 1.2:DevComInd; 1.3:DevRnR; 2.1:AgNTC; 2.3:AgLivestock; 4.1:RoadRail; 9.6:PollEnergy,1; 2; 4; 9,pcm,Quantitative,7,cumulative,HFI,"Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Excess Energy (Light, Heat, Sound); Housing & Urban Areas; Livestock Farming & Ranching; Roads & Railroads; Tourism & Recreation Areas",Agriculture & Aquaculture; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1,climate_change;land/sea_use_change;pollution,conflits_and_epidemics;technology
