ArticleID,Threat,Threat1,Threat_metric,Threat_data,Quantity_threats,threat_precision,threat_database,Threat_decoded,Threat1_decoded
25370,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23013,1.1:DevResid,1,literature,Qualitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23013,2.3:AgLivestock,2,literature,Qualitative,4,cumulative,,Livestock Farming & Ranching,Agriculture & Aquaculture
23013,5.1:UseAnimals,5,literature,Qualitative,4,cumulative,,Hunting & Collecting Animals,Biological Resource Use
23013,6.3:Other,6,literature,Qualitative,4,cumulative,,Work & Other Activities,Human Intrusions & Disturbance
23018,4.3:ShipLane,4,database,Qualitative,1,level2,Channel Islands National Marine Sanctuary,Shipping Lanes,Transportation & Service Corridors
23019,6.3:Other,6,expert,Quantitative,1,level2,,Work & Other Activities,Human Intrusions & Disturbance
23020,9.4:PollGarbSW,9,other,Quantitative,1,level2,,Garbage & Solid Waste,Pollution
23020,9.4:PollGarbSW,9,other,Quantitative,1,level2,,Garbage & Solid Waste,Pollution
23022,2.3:AgLivestock,2,survey,Qualitative,1,level2,,Livestock Farming & Ranching,Agriculture & Aquaculture
23022,2.3:AgLivestock,2,survey,Qualitative,1,level2,,Livestock Farming & Ranching,Agriculture & Aquaculture
23030,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23030,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23046,2.1:AgNTC,2,rs,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23046,2.3:AgLivestock,2,rs,Qualitative,3,level2,,Livestock Farming & Ranching,Agriculture & Aquaculture
23046,1.4:DevUnspec,1,rs,Qualitative,3,level2,,Development (Unspecified),Residential & Commercial Development
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23047,11.1:CC_Habitat,11,modelled,Quantitative,2,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23061,1.2:DevComInd,1,pcm,Qualitative,10,cumulative,Halpern_2008,Commercial & Industrial Areas,Residential & Commercial Development
23061,3.1:OilGas,3,pcm,Qualitative,10,cumulative,Halpern_2008,Oil & Gas Drilling,Energy Production & Mining
23061,4.3:ShipLane,4,pcm,Qualitative,10,cumulative,Halpern_2008,Shipping Lanes,Transportation & Service Corridors
23061,5.4:UseAquatic,5,pcm,Qualitative,10,cumulative,Halpern_2008,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23061,8.1:SDAlienInv,8,pcm,Qualitative,10,cumulative,Halpern_2008,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23061,9.1:PollDWW,9,pcm,Qualitative,10,cumulative,Halpern_2008,Domestic & Urban Waste Water,Pollution
23061,11.1:CC_Habitat,11,pcm,Qualitative,10,cumulative,Halpern_2008,Habitat Shifting & Alteration,Climate Change & Severe Weather
23061,11.3:CC_Temp,11,pcm,Qualitative,10,cumulative,Halpern_2008,Temperature Extremes,Climate Change & Severe Weather
23061,11.5:CC_other,11,pcm,Qualitative,10,cumulative,Halpern_2008,Climate Change (Other),Climate Change & Severe Weather
23062,11.2:CC_Drought,11,modelled,Quantitative,1,level2,,Droughts,Climate Change & Severe Weather
23063,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23051,8.2:SDNativProb,8,survey,Quantitative,1,level2,,Problematic Native Species,Invasive & Problematic Species
23051,8.2:SDNativProb,8,survey,Quantitative,1,level2,,Problematic Native Species,Invasive & Problematic Species
23064,4.1:RoadRail,4,survey,Qualitative,1,level2,,Roads & Railroads,Transportation & Service Corridors
23068,2.1:AgNTC,2,rs,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23068,2.2:AgWood,2,rs,Qualitative,3,level2,,Wood & Pulp Plantations,Agriculture & Aquaculture
23068,4.1:RoadRail,4,rs,Qualitative,3,level2,,Roads & Railroads,Transportation & Service Corridors
23071,1.1:DevResid,1,pcm,Quantitative,7,cumulative,HFI,Housing & Urban Areas,Residential & Commercial Development
23072,1.1:DevResid,1,pcm,Quantitative,15,cumulative,HFI,Housing & Urban Areas,Residential & Commercial Development
23071,1.2:DevComInd,1,pcm,Quantitative,7,cumulative,HFI,Commercial & Industrial Areas,Residential & Commercial Development
23072,1.2:DevComInd,1,pcm,Quantitative,15,cumulative,HFI,Commercial & Industrial Areas,Residential & Commercial Development
23071,1.3:DevRnR,1,pcm,Quantitative,7,cumulative,HFI,Tourism & Recreation Areas,Residential & Commercial Development
23072,2.1:AgNTC,2,pcm,Quantitative,15,cumulative,HFI,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23071,2.1:AgNTC,2,pcm,Quantitative,7,cumulative,HFI,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23072,2.3:AgLivestock,2,pcm,Quantitative,15,cumulative,HFI,Livestock Farming & Ranching,Agriculture & Aquaculture
23071,2.3:AgLivestock,2,pcm,Quantitative,7,cumulative,HFI,Livestock Farming & Ranching,Agriculture & Aquaculture
23072,4.1:RoadRail,4,pcm,Quantitative,15,cumulative,HFI,Roads & Railroads,Transportation & Service Corridors
23071,4.1:RoadRail,4,pcm,Quantitative,7,cumulative,HFI,Roads & Railroads,Transportation & Service Corridors
23072,4.2:UtilityLine,4,pcm,Quantitative,15,cumulative,HFI,Utility & Service Lines,Transportation & Service Corridors
23071,9.6:PollEnergy,9,pcm,Quantitative,7,cumulative,HFI,"Excess Energy (Light, Heat, Sound)",Pollution
23072,5.1:UseAnimals,5,pcm,Quantitative,15,cumulative,HFI,Hunting & Collecting Animals,Biological Resource Use
23072,5.2:UsePlant,5,pcm,Quantitative,15,cumulative,HFI,Gathering Terrestrial Plants,Biological Resource Use
23072,6.1:ActivRnR,6,pcm,Quantitative,15,cumulative,HFI,Recreational Activities,Human Intrusions & Disturbance
23072,6.3:Other,6,pcm,Quantitative,15,cumulative,HFI,Work & Other Activities,Human Intrusions & Disturbance
23072,8.1:SDAlienInv,8,pcm,Quantitative,15,cumulative,HFI,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23072,9.1:PollDWW,9,pcm,Quantitative,15,cumulative,HFI,Domestic & Urban Waste Water,Pollution
23072,9.3:PollAgrFor,9,pcm,Quantitative,15,cumulative,HFI,Agricultural & Forestry Effluents,Pollution
23072,9.4:PollGarbSW,9,pcm,Quantitative,15,cumulative,HFI,Garbage & Solid Waste,Pollution
23072,9.6:PollEnergy,9,pcm,Quantitative,15,cumulative,HFI,"Excess Energy (Light, Heat, Sound)",Pollution
23072,1.1:DevResid,1,pcm,Quantitative,15,cumulative,HFI,Housing & Urban Areas,Residential & Commercial Development
23072,1.2:DevComInd,1,pcm,Quantitative,15,cumulative,HFI,Commercial & Industrial Areas,Residential & Commercial Development
23072,2.1:AgNTC,2,pcm,Quantitative,15,cumulative,HFI,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23072,2.3:AgLivestock,2,pcm,Quantitative,15,cumulative,HFI,Livestock Farming & Ranching,Agriculture & Aquaculture
23072,4.1:RoadRail,4,pcm,Quantitative,15,cumulative,HFI,Roads & Railroads,Transportation & Service Corridors
23072,4.2:UtilityLine,4,pcm,Quantitative,15,cumulative,HFI,Utility & Service Lines,Transportation & Service Corridors
23072,5.1:UseAnimals,5,pcm,Quantitative,15,cumulative,HFI,Hunting & Collecting Animals,Biological Resource Use
23072,5.2:UsePlant,5,pcm,Quantitative,15,cumulative,HFI,Gathering Terrestrial Plants,Biological Resource Use
23072,6.1:ActivRnR,6,pcm,Quantitative,15,cumulative,HFI,Recreational Activities,Human Intrusions & Disturbance
23072,6.3:Other,6,pcm,Quantitative,15,cumulative,HFI,Work & Other Activities,Human Intrusions & Disturbance
23072,8.1:SDAlienInv,8,pcm,Quantitative,15,cumulative,HFI,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23072,9.1:PollDWW,9,pcm,Quantitative,15,cumulative,HFI,Domestic & Urban Waste Water,Pollution
23072,9.3:PollAgrFor,9,pcm,Quantitative,15,cumulative,HFI,Agricultural & Forestry Effluents,Pollution
23072,9.4:PollGarbSW,9,pcm,Quantitative,15,cumulative,HFI,Garbage & Solid Waste,Pollution
23072,9.6:PollEnergy,9,pcm,Quantitative,15,cumulative,HFI,"Excess Energy (Light, Heat, Sound)",Pollution
23072,1.1:DevResid,1,pcm,Quantitative,15,cumulative,HFI,Housing & Urban Areas,Residential & Commercial Development
23072,1.2:DevComInd,1,pcm,Quantitative,15,cumulative,HFI,Commercial & Industrial Areas,Residential & Commercial Development
23072,2.1:AgNTC,2,pcm,Quantitative,15,cumulative,HFI,Annual & Perennial Non-Timber Crops,Agriculture & Aquaculture
23072,2.3:AgLivestock,2,pcm,Quantitative,15,cumulative,HFI,Livestock Farming & Ranching,Agriculture & Aquaculture
23072,4.1:RoadRail,4,pcm,Quantitative,15,cumulative,HFI,Roads & Railroads,Transportation & Service Corridors
23072,4.2:UtilityLine,4,pcm,Quantitative,15,cumulative,HFI,Utility & Service Lines,Transportation & Service Corridors
23072,5.1:UseAnimals,5,pcm,Quantitative,15,cumulative,HFI,Hunting & Collecting Animals,Biological Resource Use
23072,5.2:UsePlant,5,pcm,Quantitative,15,cumulative,HFI,Gathering Terrestrial Plants,Biological Resource Use
23072,6.1:ActivRnR,6,pcm,Quantitative,15,cumulative,HFI,Recreational Activities,Human Intrusions & Disturbance
23072,6.3:Other,6,pcm,Quantitative,15,cumulative,HFI,Work & Other Activities,Human Intrusions & Disturbance
23072,8.1:SDAlienInv,8,pcm,Quantitative,15,cumulative,HFI,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23072,9.1:PollDWW,9,pcm,Quantitative,15,cumulative,HFI,Domestic & Urban Waste Water,Pollution
23072,9.3:PollAgrFor,9,pcm,Quantitative,15,cumulative,HFI,Agricultural & Forestry Effluents,Pollution
23072,9.4:PollGarbSW,9,pcm,Quantitative,15,cumulative,HFI,Garbage & Solid Waste,Pollution
23072,9.6:PollEnergy,9,pcm,Quantitative,15,cumulative,HFI,"Excess Energy (Light, Heat, Sound)",Pollution
23073,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23074,11.3:CC_Temp,11,survey,Qualitative,1,level2,,Temperature Extremes,Climate Change & Severe Weather
23052,11.1:CC_Habitat,11,rs,Qualitative,1,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23052,11.1:CC_Habitat,11,rs,Qualitative,1,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather
23080,6.2:WarConflict,6,literature,Qualitative,1,level2,,"War, Civil Unrest & Military Exercises",Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
